団体コード,都道府県名,団体名,財政力指数,経常収支比率,実質公債費比率,将来負担比率,ラスパイレス指数,人口
402052,福岡県,飯塚市,0.50,98.8,7.2,-,99.1,124118
402061,福岡県,田川市,0.43,97.4,8.5,-,95.0,44839
402079,福岡県,柳川市,0.46,96.7,8.1,19.4,98.5,61536
402109,福岡県,八女市,0.38,92.6,6.7,-,100.1,59544
402117,福岡県,筑後市,0.67,90.5,8.3,-,99.4,49134
402125,福岡県,大川市,0.50,92.2,10.8,30.7,99.8,31147
402133,福岡県,行橋市,0.63,92.4,7.2,-,100.4,72254
402141,福岡県,豊前市,0.53,95.3,8.1,-,96.9,23322
402150,福岡県,中間市,0.46,95.3,4.2,-,99.8,39014
402168,福岡県,小郡市,0.63,93.7,6.5,11.9,100.0,59509
402176,福岡県,筑紫野市,0.74,88.1,1.7,-,99.3,106375
402184,福岡県,春日市,0.73,88.0,2.5,-,99.8,111919
402192,福岡県,大野城市,0.77,86.9,2.3,-,100.9,103537
402206,福岡県,宗像市,0.57,93.7,▲ 0.6,-,94.5,96869
402214,福岡県,太宰府市,0.63,94.9,2.1,-,100.3,71566
402231,福岡県,古賀市,0.67,90.7,5.5,-,94.0,59184
402249,福岡県,福津市,0.56,90.2,5.7,-,94.5,69201
402257,福岡県,うきは市,0.38,85.6,6.4,-,97.4,27382
402265,福岡県,宮若市,0.61,83.4,8.5,-,98.6,26092
402273,福岡県,嘉麻市,0.28,105.8,7.4,16.1,97.2,34143
402281,福岡県,朝倉市,0.50,93.5,7.5,-,99.4,50024
402290,福岡県,みやま市,0.40,93.1,6.7,7.3,98.5,34291
402303,福岡県,糸島市,0.57,88.0,6.4,-,98.6,104175
402311,福岡県,那珂川市,0.68,95.3,7.1,-,100.3,49435
403415,福岡県,宇美町,0.59,92.8,6.7,-,95.9,36878
403423,福岡県,篠栗町,0.60,93.2,5.8,-,97.6,31261
403431,福岡県,志免町,0.72,87.7,4.1,-,99.3,46379
403440,福岡県,須恵町,0.63,90.2,7.0,38.7,97.2,29307
403458,福岡県,新宮町,0.83,90.6,8.9,-,96.8,32979
